timestamp,file_activity,process_count,command_activity,login_activity
2026-09-14 23:24:09,1007,454,265,1
2026-09-14 23:24:19,1007,450,261,1
2026-09-14 23:24:29,1007,450,261,1
2026-09-14 23:24:39,1007,450,261,1
2026-09-14 23:24:49,1007,450,261,1
2026-09-14 23:33:36,1007,458,268,1
2026-09-14 23:33:46,1007,459,269,1
2026-09-14 23:33:56,1007,458,268,1
2026-09-14 23:34:06,1007,461,271,1
2026-09-14 23:34:16,1007,457,267,1
2026-09-14 23:34:26,1007,455,265,1
2026-09-14 23:34:36,1007,454,264,1
2026-09-14 23:34:46,1007,453,263,1
2026-09-14 23:34:56,1007,452,262,1
2026-09-14 23:35:06,1007,453,263,1
2026-09-14 23:35:16,1007,453,263,1
2026-09-14 23:40:32,1007,415,242,1
2026-09-14 23:40:42,1007,405,236,1
2026-09-14 23:40:52,1007,395,229,1
2026-09-14 23:41:02,1007,391,228,1
2026-09-14 23:41:12,1007,381,222,1
2026-09-14 23:41:22,1007,372,218,1
2026-09-14 23:41:32,1007,372,218,1
2026-09-14 23:41:42,1007,369,215,1
2026-09-14 23:41:52,1007,368,214,1
2026-09-14 23:42:02,1007,372,218,1
2026-09-14 23:42:12,1007,371,217,1
2026-09-14 23:42:22,1007,371,217,1
2026-09-14 23:42:32,1007,371,217,1
2026-09-14 23:42:42,1007,370,216,1
2026-09-14 23:42:52,1007,378,224,1
2026-09-14 23:43:02,1007,378,224,1
2026-09-14 23:43:12,1007,377,223,1
2026-09-14 23:43:22,1007,376,222,1
2026-09-15 11:23:07,1007,415,245,1
2026-09-15 11:23:17,1007,410,240,1
2026-09-15 11:23:28,1007,411,241,1
2026-09-15 11:23:38,1007,413,243,1
2026-09-15 11:23:48,1007,421,251,1
2026-09-15 11:23:58,1007,423,252,1
2026-09-15 11:24:08,1007,423,252,1
2026-09-15 11:24:18,1007,423,252,1
2026-09-15 11:24:28,1007,418,247,1
2026-09-15 11:24:38,1007,418,247,1
2026-09-15 11:24:48,1007,418,247,1
2026-09-15 11:24:58,1007,417,246,1
2026-09-15 11:25:08,1007,416,245,1
2026-09-15 11:25:18,1007,416,245,1
2026-09-15 11:25:28,1007,417,246,1
2026-09-15 11:25:38,1007,417,246,1
2026-09-15 11:25:48,1007,418,247,1
2026-09-15 11:25:58,1007,418,247,1
2026-09-15 11:26:08,1007,416,245,1
2026-09-15 11:26:18,1007,417,246,1
2026-09-15 11:26:28,1007,417,246,1
2026-09-15 11:26:38,1007,420,249,1
2026-09-15 11:26:48,1007,420,249,1
2026-09-15 11:26:58,1007,421,250,1
2026-09-15 11:27:08,1007,421,250,1
2026-09-15 11:27:18,1007,421,250,1
2026-09-15 11:27:28,1007,423,252,1
2026-09-15 11:27:38,1007,421,250,1
2026-09-15 11:27:48,1007,421,250,1
2026-09-15 11:27:58,1007,422,251,1
2026-09-15 11:28:08,1007,422,251,1
2026-09-15 11:28:18,1007,422,251,1
2026-09-15 11:28:28,1007,422,251,1
2026-09-15 11:28:38,1007,421,250,1
2026-09-15 11:28:48,1007,420,249,1
2026-09-15 11:28:59,1007,424,253,1
2026-09-15 11:29:09,1007,428,257,1
2026-09-15 11:29:19,1007,428,257,1
2026-09-15 11:29:29,1007,428,257,1
2026-09-15 11:29:39,1007,419,248,1
2026-09-15 11:29:49,1007,417,246,1
2026-09-15 11:29:59,1007,417,246,1
2026-09-15 11:30:09,1007,418,247,1
2026-09-15 11:30:19,1007,420,249,1
2026-09-15 11:30:29,1007,421,250,1
2026-09-15 11:30:39,1007,440,268,1
