pid,process_name,cpu_percent,memory_percent,avg_cpu,avg_memory,message_frequency,file_activity,process_count,command_activity,login_activity
9682,keyboardservicesd,0.0,0.081634521484375,0.0,0.0876617431640625,50,1007.0,415.0,242.0,1.0
9681,AppleSpell,0.0,0.1302719116210937,0.0,0.13717651367187494,50,1007.0,415.0,242.0,1.0
9649,suggestd,0.0,0.1552581787109375,0.002,0.15771484374999997,50,1007.0,415.0,242.0,1.0
9577,CloudTelemetryService,0.0,0.0598907470703125,0.0,0.06444135050135331,127,1007.0,415.0,242.0,1.0
9575,akd,0.0,0.2164840698242187,0.002,0.2174873352050781,50,1007.0,415.0,242.0,1.0
9572,proactived,0.0,0.14495849609375,0.02,0.1299476623535156,50,1007.0,415.0,242.0,1.0
9573,donotdisturbd,0.0,0.115966796875,0.0,0.1159562004937066,18,1007.0,415.0,242.0,1.0
9556,syncdefaultsd,0.0,0.1081466674804687,0.006000000000000001,0.11057662963867186,50,1007.0,415.0,242.0,1.0
9272,mbuseragent,0.0,0.0368118286132812,0.0,0.036808013916015576,50,1007.0,415.0,242.0,1.0
9706,amsaccountsd,0.0,0.1146316528320312,0.041176470588235294,0.11300479664522058,17,1007.0,415.0,242.0,1.0
9574,findmylocateagent,0.0,0.092315673828125,0.0,0.092315673828125,18,1007.0,415.0,242.0,1.0
9710,photolibraryd,0.0,0.1087188720703125,0.0,0.11319380540114181,13,1007.0,415.0,242.0,1.0
9845,intelligentroutingd,0.0,0.0885009765625,0.0,0.0883407592773437,50,1007.0,415.0,242.0,1.0
9754,ctkd,0.0,0.07781982421875,0.0,0.08569717407226562,50,1007.0,415.0,242.0,1.0
9762,coreauthd,0.0,0.0871658325195312,0.0,0.09390640258789058,50,1007.0,415.0,242.0,1.0
9766,followupd,0.0,0.0600814819335937,0.01875,0.05050897598266601,16,1007.0,415.0,242.0,1.0
9767,cdpd,0.0,0.0759124755859375,0.0,0.07590243690892269,19,1007.0,415.0,242.0,1.0
9770,parsecd,0.0,0.1018524169921875,0.0,0.10183334350585938,10,1007.0,415.0,242.0,1.0
9774,UsageTrackingAgent,0.0,0.0911712646484375,0.0,0.09107028736787681,17,1007.0,415.0,242.0,1.0
9782,SafariBookmarksSyncAgent,0.0,0.1008987426757812,0.0,0.10235526344992892,11,1007.0,415.0,242.0,1.0
9786,sociallayerd,0.0,0.079345703125,0.0,0.07932836359197443,11,1007.0,415.0,242.0,1.0
9823,appleaccountd,0.0,0.1171112060546875,0.0,0.11508044074563417,17,1007.0,415.0,242.0,1.0
9825,CommCenter,0.0,0.1153945922851562,0.006000000000000001,0.23591232299804685,50,1007.0,415.0,242.0,1.0
