timestamp,event_type,path
2026-09-15 16:15:59,MODIFIED,/Users/muskan/Desktop/.DS_Store
2026-09-15 16:16:04,MODIFIED,/Users/muskan/Desktop/.DS_Store
2026-09-15 16:17:08,MODIFIED,/Users/muskan/Desktop/.DS_Store
2026-09-15 16:17:42,MODIFIED,/Users/muskan/Downloads/.DS_Store
2026-09-15 16:17:47,MODIFIED,/Users/muskan/Desktop/.DS_Store
2026-09-15 16:22:54,MODIFIED,/Users/muskan/Downloads/Predictive_Storage_Guardian_Paper_IEEE.docx
2026-09-15 16:22:54,CREATED,/Users/muskan/Downloads/Predictive_Storage_Guardian_Paper_IEEE.docx
2026-09-15 16:22:55,MODIFIED,/Users/muskan/Downloads/Predictive_Storage_Guardian_Paper_IEEE.docx
2026-09-15 16:23:13,MODIFIED,/Users/muskan/Downloads/Predictive_Storage_Guardian_Paper_IEEE.docx
2026-09-15 16:27:05,DELETED,/Users/muskan/Downloads/p.cpp
2026-09-15 16:27:25,MODIFIED,/Users/muskan/Downloads/.DS_Store
2026-09-15 16:27:25,DELETED,/Users/muskan/Downloads/finance1.rtf
2026-09-15 16:27:28,MODIFIED,/Users/muskan/Downloads/.DS_Store
2026-09-15 16:27:28,DELETED,/Users/muskan/Downloads/Finance2.rtf
2026-09-15 16:27:33,MODIFIED,/Users/muskan/Downloads/.DS_Store
